post_id	post_published_unix	comments_count_fb	shares_count_fb	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	post_published_sql
1008279892518211_1609376855741842	1498766228	12	6	1	3	0	39	1	0	0	0	0	0	gafsa	2017-06-29 21:57:08
1008279892518211_1609149925764535	1498752505	0	2	0	0	0	14	2	0	0	0	0	0	tunis	2017-06-29 18:08:25
1008279892518211_1608271209185740	1498708198	21	9	11	12	0	23	0	0	1	0	0	0	tunis	2017-06-29 05:49:58
1008279892518211_1603627359650125	1498408747	41	6	20	39	0	64	15	0	10	0	0	0	tunis	2017-06-25 18:39:07
1008279892518211_1605670552779139	1498564203	0	2	0	0	0	1	0	0	0	0	0	0	tunis	2017-06-27 13:50:03
1008279892518211_1605523392793855	1498553010	4	8	1	2	0	2	0	1	0	0	2	0	sfax	2017-06-27 10:43:30
1008279892518211_1603127743033420	1498367741	0	0	0	0	0	4	0	1	0	0	0	0	tunis	2017-06-25 07:15:41
1008279892518211_1602449249767936	1498316979	6	0	1	7	0	8	1	1	2	0	0	0	sfax	2017-06-24 17:09:39
1008279892518211_1602920183054176	1498350673	0	2	0	0	0	2	0	0	0	0	1	0	bizert	2017-06-25 02:31:13
1008279892518211_1602914496388078	1498350159	0	0	0	0	0	1	0	0	0	0	0	0	bizert	2017-06-25 02:22:39
1008279892518211_1602908909721970	1498349720	0	0	0	0	0	0	0	0	0	0	0	0	bizert	2017-06-25 02:15:20
1008279892518211_1602905079722353	1498349370	0	1	0	0	0	3	0	0	0	0	0	0	kef	2017-06-25 02:09:30
1008279892518211_1602900736389454	1498348996	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-06-25 02:03:16
1008279892518211_1602896999723161	1498348704	0	1	0	0	0	3	0	0	0	0	0	0	bizert	2017-06-25 01:58:24
1008279892518211_1602579703088224	1498325506	1	1	0	0	0	0	0	0	0	0	1	0	tunis	2017-06-24 19:31:46
1008279892518211_1602211816458346	1498298408	31	173	4	25	0	51	2	26	1	6	73	0	sfax	2017-06-24 12:00:08
1008279892518211_1602836293062565	1498344760	0	1	0	0	0	0	0	0	0	0	0	0	ariana	2017-06-25 00:52:40
1008279892518211_1602219049790956	1498299126	2	0	0	1	0	2	0	0	0	0	3	0	sfax	2017-06-24 12:12:06
1008279892518211_1601474613198733	1498236578	13	3	0	10	0	16	0	0	0	5	7	0	tunis	2017-06-23 18:49:38
1008279892518211_1601155846563943	1498210815	1	2	0	0	0	5	0	0	0	0	0	0	kairouan	2017-06-23 11:40:15
1008279892518211_1598635626815965	1498005582	91	14	55	62	0	103	2	5	1	2	4	0	tunis	2017-06-21 02:39:42
1008279892518211_1600347703311424	1498145093	5	22	0	0	0	23	0	4	0	2	10	0	tunis	2017-06-22 17:24:53
1008279892518211_1600770793269115	1498175342	6	3	2	6	0	4	0	0	0	0	0	0	tunis	2017-06-23 01:49:02
1008279892518211_1600397426639785	1498148534	6	0	2	2	0	9	0	2	4	0	5	0	tunis	2017-06-22 18:22:14
1008279892518211_1599843020028559	1498100377	2	0	1	1	0	15	0	0	0	0	0	0	tunis	2017-06-22 04:59:37
1008279892518211_1600036856675842	1498119468	0	1	0	0	0	5	0	0	0	0	0	0	tunis	2017-06-22 10:17:48
1008279892518211_1599292126750315	1498058301	20	59	1	2	0	78	4	3	2	0	9	0	gafsa	2017-06-21 17:18:21
1008279892518211_1598204440192417	1497974720	6	0	3	11	0	7	0	0	0	0	0	0	tunis	2017-06-20 18:05:20
1008279892518211_1597345686944959	1497909596	10	0	0	1	0	18	0	2	14	0	1	0	tunis	2017-06-19 23:59:56
1008279892518211_1598287763517418	1497979696	17	5	7	21	0	9	1	0	1	5	10	0	tunis	2017-06-20 19:28:16
1008279892518211_1599085573437637	1498045863	0	0	0	0	0	1	0	0	0	0	0	0	kef	2017-06-21 13:51:03
1008279892518211_1598403363505858	1497987719	5	7	1	0	0	8	0	1	0	0	1	0	tunis	2017-06-20 21:41:59
1008279892518211_1598258516853676	1497977920	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-06-20 18:58:40
1008279892518211_1596980086981519	1497881769	41	6	29	30	0	39	0	0	1	0	0	0	ariana	2017-06-19 16:16:09
1008279892518211_1597851550227706	1497951612	2	0	0	1	0	6	0	0	0	0	2	0	ariana	2017-06-20 11:40:12
