place	hour	score
ariana	2016-06-20 02	0.0419782035247
ariana	2016-07-16 23	0.0471962306422
ariana	2016-08-16 00	0.0409476229488
ariana	2016-08-17 22	0.041448111676
ariana	2016-08-19 11	0.0472761505658
ariana	2016-08-29 15	0.0418377175713
ariana	2016-09-07 17	0.0359006541571
ariana	2016-10-14 18	0.0294880804823
ariana	2016-10-14 18	0.027086379882
ariana	2016-10-16 19	0.0257404962057
ariana	2016-10-18 13	0.0329067392282
ariana	2016-11-01 22	0.0254000990693
ariana	2016-11-03 17	0.0247252669912
ariana	2016-11-11 15	0.0213245706669
ariana	2016-12-08 14	0.0196905685245
ariana	2016-12-17 08	0.0245451684437
ariana	2016-12-20 19	0.0202977620486
ariana	2016-12-26 20	0.0187724166085
ariana	2016-12-27 18	0.0197828631534
ariana	2017-02-03 14	0.0243730972434
ariana	2017-02-15 20	0.0169447997579
ariana	2017-02-27 11	0.0487437386441
ariana	2017-03-06 14	0.0351854253161
ariana	2017-03-31 12	0.0133306162582
ariana	2017-04-12 22	0.014522713281
ariana	2017-04-21 12	0.0131595184396
ariana	2017-04-27 11	0.0191497780849
ariana	2017-05-01 16	0.0287772312741
ariana	2017-05-02 13	0.0134304657694
ariana	2017-05-05 11	0.0133208107413
ariana	2017-05-06 15	0.0125218585456
ariana	2017-05-07 14	0.0200903141901
ariana	2017-05-27 21	0.0421121741547
ariana	2017-06-03 15	0.0115382919115
ariana	2017-06-05 11	0.0114755425372
ariana	2017-06-05 19	0.011747551251
ariana	2017-06-09 23	0.0107220488974
ariana	2017-06-19 16	0.0114170391198
ariana	2017-06-20 11	0.00957726676353
ariana	2017-06-25 00	0.0154296949152
ariana	2017-07-05 23	0.012846876818
ariana	2017-07-09 17	0.00861643828125
ariana	2017-07-09 18	0.00985178383735
ariana	2017-07-14 19	0.00898162511206
ariana	2017-08-02 12	0.00783605135425
ariana	2017-08-12 18	0.0125392611185
ariana	2017-08-13 10	0.0068721288628
ariana	2017-08-16 19	0.00647447487309
ariana	2017-08-16 20	0.00651936317381
ariana	2017-08-28 15	0.00672414460013
ariana	2017-09-02 17	0.00504448871059
ariana	2017-09-03 00	0.00186193768399
beja	2016-01-31 19	0.107430540674
beja	2016-02-02 10	0.0809724090227
