post_id	place	score	time
1008279892518211_1668894513123409	kef	0.371183325037	2017-08-21 21:09:51
1008279892518211_1676973975648796	sousse	0.105595926253	2017-08-25 08:18:39
1008279892518211_1674651185881075	tunis	0.10587113172	2017-08-24 13:16:08
1008279892518211_1672607546085439	tunis	0.139087436403	2017-08-23 19:44:57
1008279892518211_1674819042530956	tunis	0.107265893527	2017-08-24 14:28:53
1008279892518211_1675335602479300	tunis	0.100024144256	2017-08-24 18:12:05
1008279892518211_1671067536239440	sousse	0.109803499502	2017-08-23 08:39:03
1008279892518211_1672050322807828	tunis	0.102165983681	2017-08-23 15:58:55
1008279892518211_1673791625967031	tunis	0.0982070233431	2017-08-24 03:10:52
1008279892518211_1674775839201943	kairouan	0.0982487342734	2017-08-24 14:10:11
1008279892518211_1669892093023651	zaghouan	0.188636439178	2017-08-22 18:06:42
1008279892518211_1674484285897765	tunis	0.100417300065	2017-08-24 11:59:47
1008279892518211_1669398173073043	tunis	0.137275201507	2017-08-22 09:44:33
1008279892518211_1668600486486145	tunis	0.122443255775	2017-08-21 15:46:23
1008279892518211_1669587129720814	sousse	0.099082114765	2017-08-22 14:09:52
1008279892518211_1662411327105061	tunis	0.320389155083	2017-08-15 14:32:40
1008279892518211_1670501402962720	bizert	0.0976717924625	2017-08-23 00:22:11
1008279892518211_1666495256696668	tunis	0.100830043722	2017-08-19 14:35:47
1008279892518211_1667355293277331	tunis	0.101068859048	2017-08-20 09:57:20
1008279892518211_1666416890037838	kef	0.154211750524	2017-08-19 12:48:55
1008279892518211_1666905469988980	tunis	0.106646036332	2017-08-19 22:53:50
1008279892518211_1666282963384564	sousse	0.124011278552	2017-08-19 08:47:28
1008279892518211_1666842783328582	bizert	0.0979992291878	2017-08-19 21:33:12
1008279892518211_1663831930296334	tunis	0.156936047744	2017-08-16 21:37:33
1008279892518211_1664014313611429	tunis	0.101865573895	2017-08-17 02:09:57
1008279892518211_1663864173626443	tunis	0.110180761166	2017-08-16 22:22:59
1008279892518211_1663741523638708	ariana	0.100339248054	2017-08-16 19:46:24
1008279892518211_1665328203480040	tunis	0.0995357335692	2017-08-18 09:27:43
1008279892518211_1665322073480653	tunis	0.0971015213544	2017-08-18 09:14:32
1008279892518211_1665035100176017	tunis	0.0977311240782	2017-08-18 02:06:07
1008279892518211_1663869563625904	tunis	0.11366582914	2017-08-16 22:30:14
1008279892518211_1664789966867197	manouba	0.107067931342	2017-08-17 20:33:47
1008279892518211_1663107560368771	sfax	0.235216030731	2017-08-16 04:56:05
1008279892518211_1664641910215336	mahdia	0.0973727068568	2017-08-17 17:23:36
1008279892518211_1664652193547641	sousse	0.0972136856111	2017-08-17 17:32:46
1008279892518211_1663552126990981	tunis	0.0976039095943	2017-08-16 16:06:02
1008279892518211_1663603113652549	tunis	0.099187744581	2017-08-16 16:57:14
1008279892518211_1663762856969908	ariana	0.0974361434089	2017-08-16 20:14:08
1008279892518211_1661677977178396	tunis	0.0979594682139	2017-08-14 20:55:50
1008279892518211_1664048243608036	tunis	0.0989457463571	2017-08-17 03:02:24
1008279892518211_1661703633842497	sousse	0.106540031562	2017-08-14 21:30:25
1008279892518211_1662444227101771	kairouan	0.139425395289	2017-08-15 15:17:22
1008279892518211_1662285750450952	tunis	0.104161350429	2017-08-15 11:27:57
1008279892518211_1662436207102573	tunis	0.0978014621564	2017-08-15 15:04:50
1008279892518211_1662847360394791	tunis	0.112188959558	2017-08-15 23:07:36
1008279892518211_1660405060639021	tunis	0.131396685165	2017-08-13 15:54:48
1008279892518211_1661756270503900	tunis	0.158597335755	2017-08-14 22:30:17
1008279892518211_1661339620545565	tunis	0.104908293099	2017-08-14 14:31:23
1008279892518211_1661482283864632	tunis	0.106599438079	2017-08-14 17:08:56
1008279892518211_1661184840561043	tunis	0.109832336497	2017-08-14 10:29:38
1008279892518211_1659377137408480	tunis	0.13282826364	2017-08-12 17:14:38
1008279892518211_1661115300567997	sousse	0.105304030263	2017-08-14 08:15:24
1008279892518211_1660202197325974	benArous	0.105043518895	2017-08-13 11:55:08
1008279892518211_1660840407262153	tunis	0.0966108387027	2017-08-14 00:49:49
1008279892518211_1660826703930190	tunis	0.0968229809763	2017-08-14 00:27:34
1008279892518211_1660823533930507	bizert	0.0967774512152	2017-08-14 00:22:51
1008279892518211_1659104720769055	tunis	0.0967752673474	2017-08-12 12:10:50
1008279892518211_1660164333996427	ariana	0.104782510848	2017-08-13 10:53:01
1008279892518211_1659441944068666	ariana	0.0987014542939	2017-08-12 18:23:43
1008279892518211_1659435510735976	tunis	0.0965777913537	2017-08-12 18:16:02
1008279892518211_1659421710737356	tunis	0.0994720153908	2017-08-12 18:00:16
1008279892518211_1658447164168144	sousse	0.101348918761	2017-08-11 20:12:34
1008279892518211_1659345247411669	tunis	0.104064346098	2017-08-12 16:41:22
1008279892518211_1658216457524548	tunis	0.117903343513	2017-08-11 15:44:00
1008279892518211_1656064757739718	tunis	0.105273308785	2017-08-09 11:39:44
1008279892518211_1655712854441575	tunis	0.111987462113	2017-08-09 01:19:26
1008279892518211_1656421174370743	tunis	0.0960908566631	2017-08-09 19:30:09
1008279892518211_1655676081111919	tunis	0.105078376641	2017-08-09 00:21:50
1008279892518211_1656390911040436	tunis	0.0982601986618	2017-08-09 18:49:53
1008279892518211_1655437697802424	sousse	0.0981598749374	2017-08-08 18:44:44
1008279892518211_1655196351159892	tunis	0.136579932038	2017-08-08 14:06:11
1008279892518211_1654259794586881	tunis	0.132214674959	2017-08-07 15:07:11
1008279892518211_1655595287786665	tunis	0.0999265619277	2017-08-08 22:28:16
