hour	count
2016-06-27T00	2
2016-06-27T03	1
2016-06-27T09	1
2016-06-27T14	1
2016-06-27T22	1
2016-06-28T14	1
2016-06-28T17	1
2016-06-30T11	1
2016-06-30T16	1
2016-06-30T18	2
2016-06-30T19	1
2016-06-30T23	1
2016-07-01T01	1
2016-07-02T11	1
2016-07-02T15	1
2016-07-02T17	1
2016-07-02T18	1
2016-07-03T00	1
2016-07-03T01	1
2016-07-03T04	1
2016-07-03T10	1
2016-07-04T09	1
2016-07-05T00	1
2016-07-06T14	1
2016-07-06T18	1
2016-07-06T23	1
2016-07-07T11	1
2016-07-08T18	1
2016-07-09T17	2
2016-07-10T18	1
2016-07-11T13	1
2016-07-12T02	1
2016-07-12T10	1
2016-07-13T01	1
2016-07-13T10	1
2016-07-13T11	1
2016-07-13T20	2
2016-07-14T16	1
2016-07-14T17	1
2016-07-14T19	1
2016-07-15T05	1
2016-07-15T19	1
2016-07-16T12	1
2016-07-16T14	1
2016-07-16T21	1
2016-07-17T10	1
2016-07-19T08	1
2016-07-19T10	1
2016-07-19T12	1
2016-08-01T23	1
2016-08-03T05	1
2016-08-03T16	1
2016-08-13T10	1
2016-08-13T13	1
2016-08-13T17	1
2016-08-13T20	1
2016-08-14T09	1
2016-08-14T11	1
2016-08-14T15	1
2016-08-15T06	1
2016-08-15T19	1
2016-08-15T22	1
2016-08-17T02	1
2016-08-17T20	1
2016-08-18T09	1
2016-08-19T05	1
2016-08-19T09	1
2016-08-21T15	1
2016-08-22T15	1
2016-08-23T10	1
2016-08-23T12	1
2016-08-25T15	1
2016-08-26T15	1
2016-08-29T13	1
2016-08-29T19	1
2016-08-30T07	1
2016-08-30T16	1
2016-08-30T17	2
2016-08-30T20	1
2016-08-30T23	1
2016-08-31T09	1
2016-08-31T21	1
2016-09-01T15	1
2016-09-04T10	2
2016-09-04T11	1
2016-09-04T15	1
2016-09-04T20	2
2016-09-04T21	2
2016-09-05T10	2
2016-09-05T14	2
2016-09-05T15	1
2016-09-05T21	1
2016-09-06T11	1
2016-09-06T13	2
2016-09-06T15	2
2016-09-07T10	2
2016-09-07T12	1
2016-09-07T14	1
2016-09-07T15	1
2016-09-16T21	1
2016-09-17T13	1
2016-09-18T14	1
2016-09-19T10	1
2016-09-20T07	1
2016-09-20T12	1
2016-09-20T19	1
2016-09-20T20	1
2016-09-20T21	2
2016-09-21T03	1
2016-09-21T07	1
2016-09-21T10	1
2016-09-21T15	1
2016-09-22T07	1
2016-09-22T15	2
2016-09-23T17	1
2016-09-24T00	1
2016-09-24T12	2
2016-09-24T13	1
2016-09-24T15	2
2016-09-24T17	1
2016-09-25T06	1
2016-09-25T08	1
2016-09-25T22	2
2016-09-26T08	1
2016-09-26T18	1
2016-09-27T18	1
2016-09-28T10	1
2016-09-28T22	1
2016-09-29T22	1
2016-09-30T00	1
2016-09-30T04	1
2016-09-30T06	1
2016-09-30T07	2
2016-09-30T09	1
2016-09-30T10	1
2016-09-30T13	1
2016-09-30T18	1
2016-09-30T19	1
2016-09-30T20	2
2016-10-01T14	1
2016-10-01T16	2
2016-10-01T22	1
2016-10-02T18	1
2016-10-03T05	2
2016-10-03T09	1
2016-10-03T12	1
2016-10-05T17	1
2016-10-06T11	1
2016-10-06T15	1
2016-10-06T19	1
2016-10-07T12	1
2016-10-07T19	1
2016-10-07T22	2
2016-10-08T05	1
2016-10-08T07	1
2016-10-08T10	1
2016-10-09T07	1
2016-10-09T15	1
2016-10-09T23	1
2016-10-10T09	1
2016-10-10T19	1
2016-10-11T12	1
2016-10-11T14	1
2016-10-11T17	2
2016-10-12T09	1
2016-10-12T16	1
2016-10-13T09	1
2016-10-14T08	1
2016-10-14T09	3
2016-10-14T16	2
2016-10-15T18	1
2016-10-16T08	1
2016-10-16T17	1
2016-10-16T20	1
2016-10-16T23	1
2016-10-17T06	1
2016-10-18T11	1
2016-10-21T06	1
2016-10-21T19	1
2016-10-24T07	1
2016-10-24T09	1
2016-10-24T12	1
2016-10-25T19	1
2016-10-25T21	1
2016-10-26T20	1
2016-10-27T09	1
2016-10-27T13	1
2016-10-28T08	1
2016-10-28T12	1
2016-10-30T10	1
2016-10-30T19	1
2016-10-31T10	1
2016-10-31T11	1
2016-10-31T15	1
2016-10-31T16	1
2016-11-01T11	2
2016-11-01T21	1
2016-11-02T10	1
2016-11-02T12	1
2016-11-02T13	2
2016-11-02T15	1
2016-11-03T16	1
2016-11-03T17	1
2016-11-03T20	3
2016-11-03T21	1
2016-11-11T14	1
2016-11-11T20	1
2016-11-12T06	1
2016-11-12T11	1
2016-11-12T12	2
2016-11-12T17	1
2016-11-12T20	1
2016-11-13T11	1
2016-11-13T13	1
2016-11-13T14	1
2016-12-08T08	1
2016-12-08T13	1
2016-12-09T08	1
2016-12-09T10	1
2016-12-09T12	2
2016-12-09T13	2
2016-12-09T15	1
2016-12-17T07	1
2016-12-17T13	1
2016-12-17T19	1
2016-12-18T08	1
2016-12-18T10	1
2016-12-18T11	1
2016-12-18T12	1
2016-12-18T14	1
2016-12-18T16	1
2016-12-19T20	1
2016-12-19T21	1
2016-12-20T13	1
2016-12-20T18	1
2016-12-20T21	1
2016-12-21T19	1
2016-12-22T07	1
2016-12-22T11	1
2016-12-22T15	1
2016-12-23T16	2
2016-12-23T22	1
2016-12-25T18	1
2016-12-26T19	2
2016-12-26T21	1
2016-12-27T17	1
2016-12-28T11	1
2016-12-28T14	1
2016-12-28T19	1
2016-12-28T21	1
2016-12-29T18	2
2016-12-29T21	1
2016-12-29T23	1
2016-12-30T08	2
2017-01-02T09	1
2017-01-02T12	1
2017-01-02T19	1
2017-01-03T08	1
2017-01-03T15	1
2017-01-03T16	2
2017-01-04T07	1
2017-01-04T11	1
2017-01-04T12	1
2017-01-04T17	1
2017-01-04T18	1
2017-01-05T08	1
2017-01-05T09	1
2017-01-05T12	1
2017-01-06T09	1
2017-01-06T17	1
2017-01-07T09	2
