type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
link	post_user_1008279892518211	1008279892518211_1271380369541494	https://www.facebook.com/1008279892518211/posts/1271380369541494	Abdou Zico shared ‎الحملة الوطنية على فساد الادارة بالبلاد التونسية‎ s post to the group: WINOU ETROTTOIR???...	https://external.xx.fbcdn.net/safe_image.php?d=AQA-m9yZLraw4uex&w=130&h=130&url=http%3A%2F%2Fwww.alhasri.com%2Fsites%2Fdefault%2Ffiles%2Ftt1.jpg&cfs=1&_nc_hash=AQBIIH6DyQQIQuP5	https://external.xx.fbcdn.net/safe_image.php?d=AQBWWiXIeDuadMad&url=http%3A%2F%2Fwww.alhasri.com%2Fsites%2Fdefault%2Ffiles%2Ftt1.jpg&_nc_hash=AQD7rC-YaCgjlx36	http://www.alhasri.com/%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D9%85%D9%88%D8%A7%D8%B7%D9%86-%D9%81%D9%8A-%D9%82%D9%85%D8%B1%D8%AA-%D9%8A%D8%B4%D9%8A%D9%91%D8%AF-%D8%A8%D8%A7%D8%A8%D8%A7-%D9%81%D9%88%D9%84%D8%A7%D8%B0%D9%8A%D9%91%D8%A7-%D9%84%D9%85%D9%86%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B4%D8%A7%D8%B7%D8%A6-%D8%A7%D9%84%D9%82%D8%B1%D9%8A%D8%A8-%D9%85%D9%86-%D9%85%D9%86%D8%B2%D9%84%D9%87	alhasri.com	2016-08-30T17:16:43+0000	1472577403	2016-08-30 19:16:43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1271377976208400	https://www.facebook.com/1008279892518211/posts/1271377976208400	هذه الفضلات ألقيت تحت قنطرة صغيرة على الطريق الوطنية رقم 12 الرابطة بين السرس والكاف بالقرب من غابة بوقرين	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14192146_1087254584690329_4237150259131608218_n.jpg?oh=8d89007436b7f3154efd3c7b8dddcf27&oe=5A473D42	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14192146_1087254584690329_4237150259131608218_n.jpg?oh=4415187b401839124ff88411470472c8&oe=5A5B7857	https://www.facebook.com/photo.php?fbid=1087254584690329&set=gm.1271377976208400&type=3	facebook.com	2016-08-30T17:11:58+0000	1472577118	2016-08-30 19:11:58	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	kef
photo	post_user_1008279892518211	1008279892518211_1270234272989437	https://www.facebook.com/1008279892518211/posts/1270234272989437	رياض الأندلس أريانة. حي جميل و راقي . لكن أين حق المواطن في  التروتوار ؟ مادام الخضار إحتل النصف أو أكثر و السيارات إحتلت ما تبقى .( المكان رياض الأندلس قرب مركز البريد) حسب الصورة. يبدو أن الرصيف مهيأ تهيئة خاصة لركن السيارات و لا يبدو الأمر حالة عابرة. بل مقصودة و الى المدى البعيد. شيئ مخجل مؤسف و الله	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14199572_1769078043332719_3649637033679267372_n.jpg?oh=a82286ac50b43ba7601f3447780ffee5&oe=5A160A5A	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14199572_1769078043332719_3649637033679267372_n.jpg?oh=1c86e80931c476a96d81ce7fd592b198&oe=5A51DF26	https://www.facebook.com/photo.php?fbid=1769078043332719&set=gm.1270234272989437&type=3	facebook.com	2016-08-29T13:05:48+0000	1472475948	2016-08-29 15:05:48	10	1	12	1	14	1	1	0	1	0	10	0	0	1	1	0	0	ariana
photo	post_user_1008279892518211	1008279892518211_1271315286214669	https://www.facebook.com/1008279892518211/posts/1271315286214669	Feriel Farah shared ‎Tunisian File الملف التونسي‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/q83/s130x130/14102221_1249345738408892_7295729554310287959_n.jpg?oh=94266b65687d16209f59ac39ee519a08&oe=5A129F8E	https://scontent.xx.fbcdn.net/v/t1.0-9/14102221_1249345738408892_7295729554310287959_n.jpg?oh=6300da95fc0c32db902fca6bb09e891c&oe=5A46B3CC	https://www.facebook.com/TUNISIANFILE/photos/a.356226574387484.92499.356198174390324/1249345738408892/?type=3	facebook.com	2016-08-30T16:01:33+0000	1472572893	2016-08-30 18:01:33	3	0	3	2	5	0	0	0	0	0	3	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1266319713380893	https://www.facebook.com/1008279892518211/posts/1266319713380893	نتسائل أين الولاية أين البلدية أين مندوب الطفولة أمام هذه التجاوزات : حضانة مدرسية ...دون توفٌر أدنى الشروط الصحّية و شروط السّلامة ، حشر أطفال بمساحة تقلّ عن 65م² بعمارة سكنية بالسّواني المنستير  ، كيف تحصّلو على الرخصة...... nous nous demandons comment c est possible de ne pas tenir compte du minimum besoin des enfants  espace  hygiène ...... et le plus beau comment ils ont eu l autorisation ........... une plainte et une pétition est en cours ......................	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14102152_10154555036659444_8794630411177785430_n.jpg?oh=1fb26ec5a78ac0f027f0febb09b66340&oe=5A415621	https://scontent.xx.fbcdn.net/v/t1.0-9/q81/s720x720/14102152_10154555036659444_8794630411177785430_n.jpg?oh=6101cc80a649c99fc5718dc1fec3eb17&oe=5A5C1ED4	https://www.facebook.com/photo.php?fbid=10154555036659444&set=gm.1266319713380893&type=3	facebook.com	2016-08-25T15:14:24+0000	1472138064	2016-08-25 17:14:24	5	0	6	22	28	0	0	0	0	0	5	0	1	0	0	0	0	monastir
photo	post_user_1008279892518211	1008279892518211_1264218950257636	https://www.facebook.com/1008279892518211/posts/1264218950257636	قليبية:جشع بعض الفلاحين يهدد حياة التونسيين وأولادهم  مزارع تسقي من قنوات صرف المياه(فضلات بشرية..ادوية..مواد تنظيف..الخ..الخ..) وبعدها يهبط المواطن للسوق وييبدي يتفرج و يميل في راسو ويختار... نرجو النشر وفضح هذه الممارسات ونطالب السلطات بالتدخل العاجل لايقاف هذه المهزلة	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14064220_1081870365223484_6777204195231944915_n.jpg?oh=3c82211a3bb9d9213e8b3bfec5951e90&oe=5A58ECC3	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14064220_1081870365223484_6777204195231944915_n.jpg?oh=45944685d4b6b3e9450c745f8c207e42&oe=5A607ABF	https://www.facebook.com/FORUM.LA.BOURSE.DE.TUNIS/photos/a.221437401266789.51009.220740891336440/1081870365223484/?type=3	facebook.com	2016-08-23T12:17:52+0000	1471954672	2016-08-23 14:17:52	9	16	32	0	48	15	7	8	20	0	8	0	2	0	3	18	0	tunis
link	post_user_1008279892518211	1008279892518211_1264159716930226	https://www.facebook.com/1008279892518211/posts/1264159716930226	Participez aux conseils municipaux ouverts au public Tout le monde est concerné  consultez les sites des communes   Vous pouvez faire entendre votre voix   voir ou vont vos impôts voir qui décide pour vous voir les dettes de la commune  verifiez par vous-même ou est balancé l argent du contribuable N hesitez pas à défendre l’intérêt general  Joli pv jolie assemblée   comme c est beau sur les papiers   les travaux du conseil municipal de Tunis (pdf du pv du 2ème trimestre)  le pdf : http://www.commune-tunis.gov.tn/publish/municipalite/travaux%20conseil/session-wmai2016.pdf  et le site http://www.commune-tunis.gov.tn/publish/anneesession/listtravaux.asp?id=708&IDSession=80			http://www.commune-tunis.gov.tn/publish/municipalite/travaux%20conseil/session-wmai2016.pdf	commune-tunis.gov.tn	2016-08-23T10:50:43+0000	1471949443	2016-08-23 12:50:43	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1263423380337193	https://www.facebook.com/1008279892518211/posts/1263423380337193	#مشاريع_عملاقة_بعقلية_معاقة مدخل حي الهناء بنزرت.  حطوهم عندهم أقل من جمعتين! على أساس حماية مدخل الحي من الفياضانات كيما يصير كل عام.  و الصور تغني عن كل تعليق!	https://scontent.xx.fbcdn.net/v/t1.0-0/q87/s130x130/13962547_1238574686187355_7971057787337005605_n.jpg?oh=fb20c9b9537955acd6be53a07b19c3a9&oe=5A4E8C47	https://scontent.xx.fbcdn.net/v/t1.0-9/q87/s720x720/13962547_1238574686187355_7971057787337005605_n.jpg?oh=3245a5920f60cd96984fb0505de5f0f0&oe=5A5CA841	https://www.facebook.com/photo.php?fbid=1238574686187355&set=gm.1263423380337193&type=3	facebook.com	2016-08-22T15:29:39+0000	1471879779	2016-08-22 17:29:39	2	0	4	5	9	0	0	0	0	0	1	0	0	1	1	0	0	bizert
photo	post_user_1008279892518211	1008279892518211_1262519303760934	https://www.facebook.com/1008279892518211/posts/1262519303760934	Autoroute tunis-sousse au niveau du péage Morneg ; une file d attente de qcq kilomètres et une attente infernale sous le soleil.... 4 guichets ouverts pour ce grand nombre de voitures...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14079631_10210474752769937_8524109041527524249_n.jpg?oh=261c23f07b60db496e658cac14d67968&oe=5A5F03DD	https://scontent.xx.fbcdn.net/v/t1.0-9/q81/s720x720/14079631_10210474752769937_8524109041527524249_n.jpg?oh=8ab30763c9ab4818211a7c5e2602e674&oe=5A577E28	https://www.facebook.com/photo.php?fbid=10210474752769937&set=gm.1262519303760934&type=3	facebook.com	2016-08-21T15:46:35+0000	1471794395	2016-08-21 17:46:35	13	7	16	14	37	7	6	1	5	0	13	0	0	0	1	2	0	tunis
photo	post_user_1008279892518211	1008279892518211_1260410027305195	https://www.facebook.com/1008279892518211/posts/1260410027305195	Recette des finances ariana	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14022345_1095657457180650_535236924952009805_n.jpg?oh=54ba7b146470a00e74f84e3ecd27dc92&oe=5A516436	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14022345_1095657457180650_535236924952009805_n.jpg?oh=3f617fa2beac73cc77007303c2225e99&oe=5A164EC9	https://www.facebook.com/photo.php?fbid=1095657457180650&set=gm.1260410027305195&type=3	facebook.com	2016-08-19T09:07:17+0000	1471597637	2016-08-19 11:07:17	54	42	75	50	167	35	26	9	66	0	53	1	2	2	0	14	0	ariana
